date,description,amount,account,category
2024-03-09,Pizzeria Da Marco,-29.26,Girokonto,
2024-03-11,REWE Markt Dortmund,-62.54,Girokonto,
2024-03-12,Barmenia Versicherung,-78.50,Girokonto,
2024-03-13,REWE Markt Dortmund,-30.65,Girokonto,
2024-03-14,Deutsche Bahn Ticket,-49.54,Girokonto,
2024-03-15,Netflix.com,-12.99,Girokonto,
2024-03-16,REWE Markt Dortmund,-52.27,Girokonto,
2024-03-17,Apotheke am Markt,-14.60,Girokonto,
2024-03-21,Apotheke am Markt,-32.28,Girokonto,
2024-03-21,Spotify AB,-9.99,Girokonto,
2024-03-22,ALDI Sued,-17.59,Girokonto,
2024-03-23,Cafe Central,-5.23,Girokonto,
2024-03-23,Lidl Filiale 220,-17.82,Girokonto,
2024-03-26,Lidl Filiale 220,-25.94,Girokonto,
2024-03-27,Arbeitgeber GmbH Gehalt,2614.92,Girokonto,
2024-03-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-03-29,REWE Markt Dortmund,-65.88,Girokonto,
2024-03-30,REWE Markt Dortmund,-45.28,Girokonto,
2024-03-31,REWE Markt Dortmund,-22.89,Girokonto,
2024-04-01,Cafe Central,-4.91,Girokonto,
2024-04-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-04-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-04-03,Stadtwerke Dortmund Strom,-58.82,Girokonto,
2024-04-04,Pizzeria Da Marco,-41.51,Girokonto,
2024-04-05,Shell Tankstelle,-61.43,Girokonto,
2024-04-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-04-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-04-10,ALDI Sued,-34.78,Girokonto,
2024-04-10,REWE Markt Dortmund,-46.13,Girokonto,
2024-04-11,Cafe Central,-5.85,Girokonto,
2024-04-11,REWE Markt Dortmund,-66.21,Girokonto,
2024-04-12,Barmenia Versicherung,-78.50,Girokonto,
2024-04-12,REWE Markt Dortmund,-41.76,Girokonto,
2024-04-14,REWE Markt Dortmund,-38.59,Girokonto,
2024-04-15,Lieferando Bestellung,-21.72,Girokonto,
2024-04-15,REWE Markt Dortmund,-43.03,Girokonto,
2024-04-16,Cafe Central,-7.49,Girokonto,
2024-04-17,Netflix.com,-12.99,Girokonto,
2024-04-17,REWE Markt Dortmund,-37.93,Girokonto,
2024-04-17,REWE Markt Dortmund,-65.03,Girokonto,
2024-04-20,Buchhandlung Uni,-23.08,Girokonto,
2024-04-22,Amazon Marketplace,-44.08,Girokonto,
2024-04-22,Cafe Central,-10.74,Girokonto,
2024-04-22,REWE Markt Dortmund,-59.97,Girokonto,
2024-04-22,Spotify AB,-9.99,Girokonto,
2024-04-23,ALDI Sued,-24.52,Girokonto,
2024-04-23,Cafe Central,-4.83,Girokonto,
2024-04-26,Arbeitgeber GmbH Gehalt,2628.12,Girokonto,
2024-04-27,Lidl Filiale 220,-37.84,Girokonto,
2024-04-28,Lidl Filiale 220,-18.53,Girokonto,
2024-04-29,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-04-30,Deutsche Bahn Ticket,-49.57,Girokonto,
2024-05-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-05-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-05-02,Pizzeria Da Marco,-47.26,Girokonto,
2024-05-03,Cafe Central,-5.45,Girokonto,
2024-05-03,Cafe Central,-7.50,Girokonto,
2024-05-03,Stadtwerke Dortmund Strom,-61.78,Girokonto,
2024-05-05,REWE Markt Dortmund,-64.02,Girokonto,
2024-05-06,REWE Markt Dortmund,-19.23,Girokonto,
2024-05-06,Telekom Deutschland Internet,-39.99,Girokonto,
2024-05-06,VRR Abo Ticket,-89.40,Girokonto,
2024-05-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-05-09,Lieferando Bestellung,-31.87,Girokonto,
2024-05-10,Barmenia Versicherung,-78.50,Girokonto,
2024-05-10,REWE Markt Dortmund,-17.27,Girokonto,
2024-05-10,REWE Markt Dortmund,-16.73,Girokonto,
2024-05-11,Pizzeria Da Marco,-48.85,Girokonto,
2024-05-12,Cafe Central,-10.93,Girokonto,
2024-05-12,Lidl Filiale 220,-33.48,Girokonto,
2024-05-17,Netflix.com,-12.99,Girokonto,
2024-05-18,Deutsche Bahn Ticket,-36.03,Girokonto,
2024-05-21,Spotify AB,-9.99,Girokonto,
2024-05-23,Apotheke am Markt,-17.05,Girokonto,
2024-05-26,Apotheke am Markt,-19.46,Girokonto,
2024-05-27,ALDI Sued,-27.61,Girokonto,
2024-05-27,Amazon Marketplace,-93.41,Girokonto,
2024-05-27,Arbeitgeber GmbH Gehalt,2620.97,Girokonto,
2024-05-28,Cafe Central,-11.75,Girokonto,
2024-05-28,REWE Markt Dortmund,-62.04,Girokonto,
2024-05-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-05-29,Pizzeria Da Marco,-23.17,Girokonto,
2024-05-31,Lidl Filiale 220,-26.07,Girokonto,
2024-05-31,McFit Fitnessstudio,-29.90,Girokonto,
2024-06-03,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-06-03,Stadtwerke Dortmund Strom,-66.61,Girokonto,
2024-06-04,Amazon Marketplace,-54.01,Girokonto,
2024-06-04,Shell Tankstelle,-82.71,Girokonto,
2024-06-05,Pizzeria Da Marco,-34.83,Girokonto,
2024-06-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-06-07,Shell Tankstelle,-75.41,Girokonto,
2024-06-07,Vodafone Mobilfunk,-19.99,Girokonto,
2024-06-08,ALDI Sued,-24.63,Girokonto,
2024-06-08,Cafe Central,-7.77,Girokonto,
2024-06-08,Shell Tankstelle,-73.38,Girokonto,
2024-06-09,ALDI Sued,-41.36,Girokonto,
2024-06-12,Amazon Marketplace,-70.31,Girokonto,
2024-06-12,Barmenia Versicherung,-78.50,Girokonto,
2024-06-12,Shell Tankstelle,-64.31,Girokonto,
2024-06-13,Lieferando Bestellung,-13.98,Girokonto,
2024-06-13,Shell Tankstelle,-40.67,Girokonto,
2024-06-14,Lieferando Bestellung,-29.30,Girokonto,
2024-06-15,ALDI Sued,-35.45,Girokonto,
2024-06-17,Netflix.com,-12.99,Girokonto,
2024-06-17,Pizzeria Da Marco,-32.38,Girokonto,
2024-06-21,Spotify AB,-9.99,Girokonto,
2024-06-23,Pizzeria Da Marco,-45.90,Girokonto,
2024-06-24,Amazon Marketplace,-90.99,Girokonto,
2024-06-26,Cafe Central,-6.98,Girokonto,
2024-06-27,Arbeitgeber GmbH Gehalt,2619.01,Girokonto,
2024-06-27,Cafe Central,-6.76,Girokonto,
2024-06-28,Lieferando Bestellung,-17.37,Girokonto,
2024-06-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-06-29,REWE Markt Dortmund,-15.32,Girokonto,
2024-06-30,Amazon Marketplace,-15.36,Girokonto,
2024-06-30,REWE Markt Dortmund,-37.21,Girokonto,
2024-07-01,Cafe Central,-11.22,Girokonto,
2024-07-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-07-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-07-03,ALDI Sued,-16.63,Girokonto,
2024-07-03,Stadtwerke Dortmund Strom,-67.10,Girokonto,
2024-07-04,Lidl Filiale 220,-15.03,Girokonto,
2024-07-05,Amazon Marketplace,-84.92,Girokonto,
2024-07-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-07-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-07-09,Cafe Central,-3.52,Girokonto,
2024-07-10,Apotheke am Markt,-20.43,Girokonto,
2024-07-10,Apotheke am Markt,-35.42,Girokonto,
2024-07-11,ALDI Sued,-33.54,Girokonto,
2024-07-12,Barmenia Versicherung,-78.50,Girokonto,
2024-07-13,Cafe Central,-6.30,Girokonto,
2024-07-14,REWE Markt Dortmund,-54.03,Girokonto,
2024-07-17,Netflix.com,-12.99,Girokonto,
2024-07-19,Lieferando Bestellung,-27.27,Girokonto,
2024-07-19,Spotify AB,-9.99,Girokonto,
2024-07-20,ALDI Sued,-28.99,Girokonto,
2024-07-21,Buchhandlung Uni,-14.14,Girokonto,
2024-07-24,Deutsche Bahn Ticket,-75.09,Girokonto,
2024-07-26,Arbeitgeber GmbH Gehalt,2652.71,Girokonto,
2024-07-26,Cafe Central,-8.19,Girokonto,
2024-07-26,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-07-27,REWE Markt Dortmund,-47.24,Girokonto,
2024-07-27,Shell Tankstelle,-51.94,Girokonto,
2024-07-28,Lieferando Bestellung,-13.74,Girokonto,
2024-07-28,MediaMarkt,-55.36,Girokonto,
2024-08-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-08-01,Lidl Filiale 220,-19.16,Girokonto,
2024-08-01,REWE Markt Dortmund,-53.77,Girokonto,
2024-08-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-08-02,Stadtwerke Dortmund Strom,-66.82,Girokonto,
2024-08-05,REWE Markt Dortmund,-29.04,Girokonto,
2024-08-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-08-06,VRR Abo Ticket,-89.40,Girokonto,
2024-08-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-08-10,Cafe Central,-7.91,Girokonto,
2024-08-12,Barmenia Versicherung,-78.50,Girokonto,
2024-08-12,Lieferando Bestellung,-25.66,Girokonto,
2024-08-13,Lidl Filiale 220,-13.31,Girokonto,
2024-08-14,Lidl Filiale 220,-16.84,Girokonto,
2024-08-14,REWE Markt Dortmund,-24.27,Girokonto,
2024-08-15,Lidl Filiale 220,-19.52,Girokonto,
2024-08-17,REWE Markt Dortmund,-52.79,Girokonto,
2024-08-19,Netflix.com,-12.99,Girokonto,
2024-08-20,Cafe Central,-7.11,Girokonto,
2024-08-21,Lieferando Bestellung,-33.99,Girokonto,
2024-08-21,Spotify AB,-9.99,Girokonto,
2024-08-22,ALDI Sued,-36.69,Girokonto,
2024-08-22,REWE Markt Dortmund,-58.10,Girokonto,
2024-08-26,REWE Markt Dortmund,-51.12,Girokonto,
2024-08-27,Arbeitgeber GmbH Gehalt,2644.78,Girokonto,
2024-08-27,MediaMarkt,-95.83,Girokonto,
2024-08-28,Shell Tankstelle,-43.09,Girokonto,
2024-08-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-08-29,ALDI Sued,-36.49,Girokonto,
2024-08-30,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-09-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-09-02,REWE Markt Dortmund,-52.75,Girokonto,
2024-09-02,REWE Markt Dortmund,-50.83,Girokonto,
2024-09-03,Cafe Central,-5.75,Girokonto,
2024-09-03,MediaMarkt,-205.33,Girokonto,
2024-09-03,Stadtwerke Dortmund Strom,-65.68,Girokonto,
2024-09-04,Lidl Filiale 220,-20.58,Girokonto,
2024-09-05,REWE Markt Dortmund,-60.69,Girokonto,
2024-09-05,REWE Markt Dortmund,-41.60,Girokonto,
2024-09-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-09-06,ALDI Sued,-11.12,Girokonto,
2024-09-06,REWE Markt Dortmund,-43.12,Girokonto,
2024-09-06,Vodafone Mobilfunk,-19.99,Girokonto,
2024-09-07,Apotheke am Markt,-35.44,Girokonto,
2024-09-10,ALDI Sued,-24.35,Girokonto,
2024-09-12,ALDI Sued,-25.11,Girokonto,
2024-09-12,Barmenia Versicherung,-78.50,Girokonto,
2024-09-12,REWE Markt Dortmund,-14.39,Girokonto,
2024-09-13,Buchhandlung Uni,-21.33,Girokonto,
2024-09-17,Netflix.com,-12.99,Girokonto,
2024-09-17,REWE Markt Dortmund,-57.55,Girokonto,
2024-09-18,Pizzeria Da Marco,-49.83,Girokonto,
2024-09-19,Lieferando Bestellung,-28.43,Girokonto,
2024-09-20,REWE Markt Dortmund,-26.04,Girokonto,
2024-09-20,Spotify AB,-9.99,Girokonto,
2024-09-21,REWE Markt Dortmund,-17.64,Girokonto,
2024-09-22,Lieferando Bestellung,-25.36,Girokonto,
2024-09-23,Lidl Filiale 220,-14.26,Girokonto,
2024-09-24,Cafe Central,-5.95,Girokonto,
2024-09-26,Cafe Central,-11.35,Girokonto,
2024-09-26,Pizzeria Da Marco,-35.44,Girokonto,
2024-09-27,Arbeitgeber GmbH Gehalt,2615.28,Girokonto,
2024-09-27,Pizzeria Da Marco,-50.83,Girokonto,
2024-09-27,REWE Markt Dortmund,-50.33,Girokonto,
2024-09-28,Buchhandlung Uni,-14.88,Girokonto,
2024-09-29,Lieferando Bestellung,-20.39,Girokonto,
2024-09-29,REWE Markt Dortmund,-60.69,Girokonto,
2024-09-30,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-10-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-10-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-10-03,Stadtwerke Dortmund Strom,-58.95,Girokonto,
2024-10-05,REWE Markt Dortmund,-56.37,Girokonto,
2024-10-06,Cafe Central,-7.38,Girokonto,
2024-10-06,REWE Markt Dortmund,-21.97,Girokonto,
2024-10-07,REWE Markt Dortmund,-67.13,Girokonto,
2024-10-07,Telekom Deutschland Internet,-39.99,Girokonto,
2024-10-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-10-11,Barmenia Versicherung,-78.50,Girokonto,
2024-10-11,REWE Markt Dortmund,-28.41,Girokonto,
2024-10-12,REWE Markt Dortmund,-61.22,Girokonto,
2024-10-17,Netflix.com,-12.99,Girokonto,
2024-10-18,Amazon Marketplace,-49.92,Girokonto,
2024-10-19,ALDI Sued,-34.31,Girokonto,
2024-10-19,Buchhandlung Uni,-17.52,Girokonto,
2024-10-20,Lieferando Bestellung,-32.11,Girokonto,
2024-10-21,Lidl Filiale 220,-20.19,Girokonto,
2024-10-21,Spotify AB,-9.99,Girokonto,
2024-10-24,REWE Markt Dortmund,-25.03,Girokonto,
2024-10-24,REWE Markt Dortmund,-23.64,Girokonto,
2024-10-25,Arbeitgeber GmbH Gehalt,2618.55,Girokonto,
2024-10-25,Pizzeria Da Marco,-39.63,Girokonto,
2024-10-28,Cafe Central,-6.38,Girokonto,
2024-10-28,REWE Markt Dortmund,-64.03,Girokonto,
2024-10-28,REWE Markt Dortmund,-35.37,Girokonto,
2024-10-28,REWE Markt Dortmund,-16.07,Girokonto,
2024-10-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-10-30,Amazon Marketplace,-11.24,Girokonto,
2024-11-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-11-01,McFit Fitnessstudio,-29.90,Girokonto,
2024-11-01,Stadtwerke Dortmund Strom,-67.52,Girokonto,
2024-11-02,ALDI Sued,-29.33,Girokonto,
2024-11-03,Lidl Filiale 220,-19.28,Girokonto,
2024-11-04,Apotheke am Markt,-23.28,Girokonto,
2024-11-04,Cafe Central,-7.75,Girokonto,
2024-11-04,REWE Markt Dortmund,-29.21,Girokonto,
2024-11-05,ALDI Sued,-23.38,Girokonto,
2024-11-05,Amazon Marketplace,-86.70,Girokonto,
2024-11-05,Cafe Central,-7.03,Girokonto,
2024-11-05,Lieferando Bestellung,-30.27,Girokonto,
2024-11-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-11-06,Lidl Filiale 220,-12.23,Girokonto,
2024-11-06,VRR Abo Ticket,-89.40,Girokonto,
2024-11-07,Amazon Marketplace,-77.92,Girokonto,
2024-11-07,Lieferando Bestellung,-12.18,Girokonto,
2024-11-08,Vodafone Mobilfunk,-19.99,Girokonto,
2024-11-09,REWE Markt Dortmund,-16.38,Girokonto,
2024-11-10,Cafe Central,-5.04,Girokonto,
2024-11-11,REWE Markt Dortmund,-50.12,Girokonto,
2024-11-11,REWE Markt Dortmund,-32.96,Girokonto,
2024-11-12,Barmenia Versicherung,-78.50,Girokonto,
2024-11-12,Pizzeria Da Marco,-19.21,Girokonto,
2024-11-15,Cafe Central,-9.48,Girokonto,
2024-11-15,Netflix.com,-12.99,Girokonto,
2024-11-17,REWE Markt Dortmund,-22.52,Girokonto,
2024-11-18,ALDI Sued,-16.74,Girokonto,
2024-11-19,Lieferando Bestellung,-29.07,Girokonto,
2024-11-19,REWE Markt Dortmund,-25.35,Girokonto,
2024-11-20,Amazon Marketplace,-75.25,Girokonto,
2024-11-20,Cafe Central,-7.22,Girokonto,
2024-11-21,Cafe Central,-7.23,Girokonto,
2024-11-21,Spotify AB,-9.99,Girokonto,
2024-11-22,Deutsche Bahn Ticket,-27.06,Girokonto,
2024-11-24,Cafe Central,-7.83,Girokonto,
2024-11-27,Arbeitgeber GmbH Gehalt,2640.28,Girokonto,
2024-11-27,Lidl Filiale 220,-16.98,Girokonto,
2024-11-28,Lieferando Bestellung,-19.19,Girokonto,
2024-11-28,Lieferando Bestellung,-28.42,Girokonto,
2024-11-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-11-29,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2024-11-29,Lidl Filiale 220,-17.14,Girokonto,
2024-11-29,REWE Markt Dortmund,-25.76,Girokonto,
2024-11-30,Cafe Central,-10.81,Girokonto,
2024-12-01,Cafe Central,-10.62,Girokonto,
2024-12-02,Lieferando Bestellung,-26.06,Girokonto,
2024-12-02,McFit Fitnessstudio,-29.90,Girokonto,
2024-12-03,REWE Markt Dortmund,-41.38,Girokonto,
2024-12-03,Stadtwerke Dortmund Strom,-63.42,Girokonto,
2024-12-04,REWE Markt Dortmund,-35.93,Girokonto,
2024-12-05,Pizzeria Da Marco,-42.02,Girokonto,
2024-12-05,REWE Markt Dortmund,-47.03,Girokonto,
2024-12-05,Telekom Deutschland Internet,-39.99,Girokonto,
2024-12-06,Vodafone Mobilfunk,-19.99,Girokonto,
2024-12-10,Cafe Central,-8.56,Girokonto,
2024-12-12,Amazon Marketplace,-111.21,Girokonto,
2024-12-12,Barmenia Versicherung,-78.50,Girokonto,
2024-12-13,Buchhandlung Uni,-32.88,Girokonto,
2024-12-14,ALDI Sued,-12.57,Girokonto,
2024-12-17,Netflix.com,-12.99,Girokonto,
2024-12-17,REWE Markt Dortmund,-17.09,Girokonto,
2024-12-18,Cafe Central,-5.65,Girokonto,
2024-12-20,Cafe Central,-8.83,Girokonto,
2024-12-21,Cafe Central,-9.83,Girokonto,
2024-12-23,Spotify AB,-9.99,Girokonto,
2024-12-27,Arbeitgeber GmbH Gehalt,2615.00,Girokonto,
2024-12-28,Amazon Marketplace,-50.66,Girokonto,
2024-12-28,Lidl Filiale 220,-15.91,Girokonto,
2024-12-30,ALDI Sued,-20.14,Girokonto,
2024-12-30,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2024-12-31,ALDI Sued,-15.98,Girokonto,
2024-12-31,MediaMarkt,-53.20,Girokonto,
2025-01-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2025-01-01,REWE Markt Dortmund,-29.04,Girokonto,
2025-01-02,McFit Fitnessstudio,-29.90,Girokonto,
2025-01-03,Stadtwerke Dortmund Strom,-60.47,Girokonto,
2025-01-05,REWE Markt Dortmund,-56.25,Girokonto,
2025-01-06,REWE Markt Dortmund,-55.64,Girokonto,
2025-01-06,Shell Tankstelle,-50.96,Girokonto,
2025-01-06,Telekom Deutschland Internet,-39.99,Girokonto,
2025-01-08,ALDI Sued,-19.55,Girokonto,
2025-01-08,Vodafone Mobilfunk,-19.99,Girokonto,
2025-01-11,Lieferando Bestellung,-29.69,Girokonto,
2025-01-11,REWE Markt Dortmund,-15.14,Girokonto,
2025-01-13,Barmenia Versicherung,-78.50,Girokonto,
2025-01-13,Cafe Central,-11.44,Girokonto,
2025-01-13,Lidl Filiale 220,-15.98,Girokonto,
2025-01-17,Lidl Filiale 220,-22.49,Girokonto,
2025-01-17,Netflix.com,-12.99,Girokonto,
2025-01-18,Cafe Central,-6.33,Girokonto,
2025-01-18,Lieferando Bestellung,-33.73,Girokonto,
2025-01-20,ALDI Sued,-26.58,Girokonto,
2025-01-21,Spotify AB,-9.99,Girokonto,
2025-01-22,REWE Markt Dortmund,-61.57,Girokonto,
2025-01-23,ALDI Sued,-16.40,Girokonto,
2025-01-24,Amazon Marketplace,-8.68,Girokonto,
2025-01-25,ALDI Sued,-18.85,Girokonto,
2025-01-25,Amazon Marketplace,-19.60,Girokonto,
2025-01-25,Lidl Filiale 220,-29.98,Girokonto,
2025-01-25,Lieferando Bestellung,-16.82,Girokonto,
2025-01-27,Arbeitgeber GmbH Gehalt,2624.10,Girokonto,
2025-01-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2025-01-31,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2025-01-31,McFit Fitnessstudio,-29.90,Girokonto,
2025-02-01,Lieferando Bestellung,-20.25,Girokonto,
2025-02-01,Lieferando Bestellung,-24.65,Girokonto,
2025-02-03,Stadtwerke Dortmund Strom,-70.53,Girokonto,
2025-02-05,Telekom Deutschland Internet,-39.99,Girokonto,
2025-02-06,REWE Markt Dortmund,-37.29,Girokonto,
2025-02-06,VRR Abo Ticket,-89.40,Girokonto,
2025-02-10,Vodafone Mobilfunk,-19.99,Girokonto,
2025-02-12,Barmenia Versicherung,-78.50,Girokonto,
2025-02-12,REWE Markt Dortmund,-45.46,Girokonto,
2025-02-13,Pizzeria Da Marco,-42.81,Girokonto,
2025-02-13,Pizzeria Da Marco,-26.04,Girokonto,
2025-02-14,Domain Hosting Rechnung,-119.00,Girokonto,
2025-02-14,Pizzeria Da Marco,-22.01,Girokonto,
2025-02-17,Netflix.com,-12.99,Girokonto,
2025-02-18,ALDI Sued,-22.09,Girokonto,
2025-02-21,Spotify AB,-9.99,Girokonto,
2025-02-22,REWE Markt Dortmund,-50.58,Girokonto,
2025-02-24,Cafe Central,-6.78,Girokonto,
2025-02-25,REWE Markt Dortmund,-61.10,Girokonto,
2025-02-26,Cafe Central,-5.49,Girokonto,
2025-02-27,Arbeitgeber GmbH Gehalt,2647.91,Girokonto,
2025-02-27,REWE Markt Dortmund,-40.70,Girokonto,
2025-02-28,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2025-02-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2025-03-03,McFit Fitnessstudio,-29.90,Girokonto,
2025-03-03,Stadtwerke Dortmund Strom,-66.89,Girokonto,
2025-03-04,ALDI Sued,-38.86,Girokonto,
2025-03-05,ALDI Sued,-37.16,Girokonto,
2025-03-05,Telekom Deutschland Internet,-39.99,Girokonto,
2025-03-07,Vodafone Mobilfunk,-19.99,Girokonto,
2025-03-09,ALDI Sued,-28.53,Girokonto,
2025-03-12,Barmenia Versicherung,-78.50,Girokonto,
2025-03-12,Deutsche Bahn Ticket,-79.32,Girokonto,
2025-03-12,Pizzeria Da Marco,-53.79,Girokonto,
2025-03-13,Shell Tankstelle,-52.41,Girokonto,
2025-03-17,Netflix.com,-12.99,Girokonto,
2025-03-18,REWE Markt Dortmund,-51.65,Girokonto,
2025-03-19,Cafe Central,-10.85,Girokonto,
2025-03-19,REWE Markt Dortmund,-20.47,Girokonto,
2025-03-20,ALDI Sued,-32.90,Girokonto,
2025-03-21,Spotify AB,-9.99,Girokonto,
2025-03-22,REWE Markt Dortmund,-40.22,Girokonto,
2025-03-23,ALDI Sued,-19.92,Girokonto,
2025-03-23,Cafe Central,-4.29,Girokonto,
2025-03-24,Cafe Central,-6.33,Girokonto,
2025-03-26,REWE Markt Dortmund,-39.22,Girokonto,
2025-03-27,Arbeitgeber GmbH Gehalt,2642.37,Girokonto,
2025-03-27,Lieferando Bestellung,-24.45,Girokonto,
2025-03-27,REWE Markt Dortmund,-57.32,Girokonto,
2025-03-28,Sparplan ETF Depot Transfer,-300.00,Girokonto,
2025-03-29,Amazon Marketplace,-45.96,Girokonto,
2025-03-31,Lieferando Bestellung,-15.86,Girokonto,
2025-04-01,Hausverwaltung Mueller Miete,-895.00,Girokonto,
2025-04-01,Lidl Filiale 220,-27.37,Girokonto,
2025-04-02,McFit Fitnessstudio,-29.90,Girokonto,
2025-04-03,Stadtwerke Dortmund Strom,-59.69,Girokonto,
2025-04-04,Apotheke am Markt,-23.69,Girokonto,
2025-04-04,Telekom Deutschland Internet,-39.99,Girokonto,
2025-04-05,REWE Markt Dortmund,-49.91,Girokonto,
2025-04-06,ALDI Sued,-17.32,Girokonto,
2025-04-08,REWE Markt Dortmund,-51.62,Girokonto,
2025-04-08,Vodafone Mobilfunk,-19.99,Girokonto,
2025-04-09,Apotheke am Markt,-24.94,Girokonto,
2025-04-09,Lieferando Bestellung,-27.19,Girokonto,
2025-04-10,REWE Markt Dortmund,-25.82,Girokonto,
2025-04-11,Amazon Marketplace,-84.84,Girokonto,
2025-04-12,Amazon Marketplace,-43.00,Girokonto,
2025-04-14,Amazon Marketplace,-102.66,Girokonto,
2025-04-14,Barmenia Versicherung,-78.50,Girokonto,
2025-04-14,Cafe Central,-6.10,Girokonto,
2025-04-14,Deutsche Bahn Ticket,-59.14,Girokonto,
2025-04-15,Amazon Marketplace,-19.11,Girokonto,
2025-04-16,REWE Markt Dortmund,-33.13,Girokonto,
2025-04-17,Amazon Marketplace,-18.82,Girokonto,
2025-04-17,Cafe Central,-9.74,Girokonto,
2025-04-17,Netflix.com,-12.99,Girokonto,
